transaction_id,timestamp,user_id,amount,device_trust_score,velocity_1h,biometric_variance,hour_of_day,merchant_history_count,location_change,merchant_category,is_fraud,fraud_vector
tx_000000,2026-07-14 11:19:00,usr_0440,45.619292471322815,0.6397532829262347,1,0.03917908735332589,11,5,0,retail,0,None
tx_000001,2026-07-20 21:34:00,usr_0533,91.68234717975338,0.8158040545073088,1,0.03470807833992795,21,8,0,retail,0,None
tx_000002,2026-06-15 13:32:00,usr_0569,92.290646984527,0.863416792918496,1,0.025243992539745415,13,9,0,grocery,0,None
tx_000003,2026-07-16 11:10:00,usr_0207,44.832519072946695,0.9707792956740576,2,0.021981498988684452,11,12,0,subscription,0,None
tx_000004,2026-07-18 21:32:00,usr_0548,23.097030836981478,1.0,1,0.036100024920330265,21,10,0,subscription,0,None
tx_000005,2026-06-05 17:33:00,usr_0686,41.473905356478284,0.9639119361382156,0,0.02871118155873424,17,9,0,dining,0,None
tx_000006,2026-07-10 14:36:00,usr_0469,22.16598742375397,0.7258814337448085,4,0.042455390952590176,14,1,0,grocery,0,None
tx_000007,2026-05-19 15:39:00,usr_0246,9.520183168896851,0.8030478783761426,1,0.05056004467650392,15,12,0,dining,0,None
tx_000008,2026-06-29 22:01:00,usr_0576,17.068980654592757,0.7107981704861264,2,0.056711107835660135,22,10,0,retail,0,None
tx_000009,2026-05-24 08:00:00,usr_0734,101.86780448412206,0.7946395064610002,7,0.027119615392433113,8,7,0,dining,0,None
tx_000010,2026-05-29 11:44:00,usr_1113,33.92052944409338,0.6283316008243305,3,0.03841575158397801,11,4,0,grocery,0,None
tx_000011,2026-07-15 12:34:00,usr_1096,40.68225410897578,0.7097659788337166,1,0.05677156498045975,12,6,0,dining,0,None
tx_000012,2026-06-25 22:00:00,usr_0305,219.164090159937,0.8120243011661712,0,0.053026596490964854,22,10,0,subscription,0,None
tx_000013,2026-08-11 06:54:00,usr_0062,105.76360560370115,0.9288863099306344,4,0.03525338532677535,6,7,0,grocery,0,None
tx_000014,2026-07-04 07:14:00,usr_0461,73.11740413907847,0.8602243823187846,1,0.042420991689328225,7,7,0,subscription,0,None
tx_000015,2026-07-14 12:32:00,usr_0232,26.381804268530978,0.813625037364331,3,0.041002924528802234,12,6,0,retail,0,None
